unix_time,step,interval_s_per_step,flag
1783575531,100,,
1783575651,200,1.2000,
1783575771,400,0.6000,
1783575891,500,1.2000,
1783576011,700,0.6000,
1783576131,800,1.2000,
1783576251,900,1.2000,
1783576371,1100,0.6000,
1783576491,1200,1.2000,
1783576611,1400,0.6000,
1783576731,1500,1.2000,
1783576851,1700,0.6000,
1783576971,1800,1.2000,
1783577091,1900,1.2000,
1783577211,2100,0.6000,
1783577331,2200,1.2000,
1783577451,2400,0.6000,
1783577571,2500,1.2000,
1783577691,2700,0.6000,
1783577811,2800,1.2000,
1783577931,3000,0.6000,
1783578051,3100,1.2000,
1783578171,3200,1.2000,
1783578291,3400,0.6000,
1783578411,3500,1.2000,
1783578531,3700,0.6000,
1783578651,3800,1.2000,
1783578771,4000,0.6000,
1783578891,4100,1.2000,
1783579011,4200,1.2000,
1783579131,4400,0.6000,
1783579251,4500,1.2000,
1783579371,4700,0.6000,
1783579491,4800,1.2000,
1783579611,5000,0.6000,
1783579731,5100,1.2000,
1783579851,5200,1.2000,
1783579971,5400,0.6000,
1783580091,5500,1.2000,
1783580211,5700,0.6000,
1783580331,5800,1.2000,
1783580451,6000,0.6000,
1783580571,6100,1.2000,
1783580691,6200,1.2000,
1783580811,6400,0.6000,
1783580931,6500,1.2000,
1783581051,6700,0.6000,
1783581171,6800,1.2000,
1783581291,7000,0.6000,
1783581411,7100,1.2005,
1783581531,7200,1.2000,
1783581651,7400,0.6000,
1783581771,7500,1.2000,
1783581891,7700,0.6000,
1783582011,7800,1.2000,
1783582131,8000,0.6000,
1783582251,8100,1.2000,
1783582371,8200,1.2000,
1783582491,8400,0.6000,
1783582611,8500,1.2000,
1783582731,8700,0.6000,
1783582851,8800,1.2000,
1783582971,9000,0.6000,
1783583091,9100,1.2000,
1783583211,9200,1.2000,
1783583331,9400,0.6000,
1783583451,9500,1.2000,
1783583571,9700,0.6000,
1783583691,9800,1.2000,
1783583811,10000,0.6000,
1783583931,10100,1.2000,
1783584051,10200,1.2000,
1783584171,10400,0.6000,
1783584291,10500,1.2000,
1783584411,10700,0.6000,
1783584531,10800,1.2000,
1783584651,11000,0.6000,
1783584771,11100,1.2000,
1783584891,11200,1.2000,
1783585011,11400,0.6000,
1783585131,11500,1.2000,
1783585251,11700,0.6000,
1783585371,11800,1.2000,
1783585491,12000,0.6000,
1783585611,12100,1.2000,
1783585731,12200,1.2000,
1783585851,12400,0.6000,
1783585971,12500,1.2000,
1783586091,12700,0.6000,
1783586211,12800,1.2000,
1783586331,13000,0.6000,
1783586451,13100,1.2000,
1783586571,13200,1.2000,
1783586691,13400,0.6000,
1783586811,13500,1.2000,
1783586931,13700,0.6000,
1783587051,13800,1.2000,
1783587171,14000,0.6000,
1783587291,14100,1.2000,
1783587411,14200,1.2000,
1783587531,14400,0.6000,
1783587651,14500,1.2000,
1783587771,14700,0.6000,
1783587891,14800,1.2000,
1783588011,15000,0.6000,
1783588131,15100,1.2000,
1783588251,15200,1.2000,
1783588371,15400,0.6000,
1783588491,15500,1.2000,
1783588611,15700,0.6000,
1783588731,15800,1.2000,
1783588851,16000,0.6000,
1783588971,16100,1.2000,
1783589091,16200,1.2000,
1783589211,16400,0.6000,
1783589331,16500,1.2000,
1783589451,16700,0.6000,
1783589571,16800,1.2000,
1783589691,17000,0.6000,
1783589811,17100,1.2000,
1783589931,17200,1.2000,
1783590051,17400,0.6000,
1783590171,17500,1.2000,
1783590291,17700,0.6000,
1783590411,17800,1.2000,
1783590531,18000,0.6000,
1783590651,18100,1.2000,
1783590771,18200,1.2000,
1783590891,18400,0.6000,
1783591011,18500,1.2000,
1783591131,18700,0.6000,
1783591251,18800,1.2000,
1783591371,19000,0.6000,
1783591491,19100,1.2000,
1783591611,19200,1.2000,
1783591731,19400,0.6000,
1783591851,19500,1.2000,
1783591971,19700,0.6000,
1783592091,19800,1.2000,
